,Species.False,Family,Batch,Pollinator,Pollen_collect_by_bee,H_sterol,Cholesterol,Desmosterol,X24Methylenecholesterol,Campesterol,Stigmasterol,Episterol,Sitosterol,Isofucosterol,Cycloartenol,Citrostradienol,Sitostanol,Campestanol,Cycloeucalenol,X31Norcycloartenol,X31Norcycloartanol,X2428MethyleneLophenol,X2428MethyleneCycloartanol,Pollinastanol,Schottenol,Lathosterol,X2425Dehydropollinastanol,Obtusifoliol,Epifungisterol,IsoObtusifoliol,X14MethylCholest8enol,Sum,Cholesterol.1,Desmosterol.1,X24Methylenecholesterol.1,Campesterol.1,Stigmasterol.1,Episterol.1,Sitosterol.1,Isofucosterol.1,Cycloartenol.1,Citrostradienol.1,Sitostanol.1,Campestanol.1,Cycloeucalenol.1,X31Norcycloartenol.1,X31Norcycloartanol.1,X2428MethyleneLophenol.1,X2428MethyleneCycloartanol.1,Pollinastanol.1,Schottenol.1,Lathosterol.1,X2425Dehydropollinastanol.1,Obtusifoliol.1,Epifungisterol.1,IsoObtusifoliol.1,X14MethylCholest8enol.1,Sum.1,Cholesterol.2,Desmosterol.2,X24Methylenecholesterol.2,Campesterol.2,Stigmasterol.2,Episterol.2,Sitosterol.2,Isofucosterol.2,Cycloartenol.2,Citrostradienol.2,Sitostanol.2,Campestanol.2,Cycloeucalenol.2,X31Norcycloartenol.2,X31Norcycloartanol.2,X2428MethyleneLophenol.2,X2428MethyleneCycloartanol.2,Pollinastanol.2,Schottenol.2,Lathosterol.2,X2425Dehydropollinastanol.2,Obtusifoliol.2,Epifungisterol.2,IsoObtusifoliol.2,X14MethylCholest8enol.2,Sum.2,Sum_C0,Sum_C1,Sum_C2,Sum_CSums,Sum_D0,Sum_D5,Sum_D7,Sum_D8,Sum_DeltaSums,DGrp
Cistus_sp.,Cistus sp.,Cistaceae,1st,Generalist_insect,Yes,0.341631982,0.002,0,0.202,0.005,0,0.272,0.008,0.506,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013,0,1.218,0.031,0,1.639,0.047,3.052,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.027,0.234,0,22.733,0.575,0,30.589,0.883,56.973,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.502,0.007,0.479,0.514,1,0.005,0.723,0.272,0,1,Sum_D5
Cleistocactus_samaipatanus,Cleistocactus samaipatanus,Cactaceae,1st,Bird,No,0.23409531,0,0.001,0.832,0.005,0,0.028,0.011,0.017,0.019,0,0,0,0.048,0,0,0,0,0.029,0,0,0,0.009,0,0,0,1,0.012,0.019,24.519,0.14,0,0.823,0.33,0.514,0.567,0,0,0,1.421,0,0,0,0,0.857,0,0,0,0.253,0,0,0,29.456,0.033,0.053,69.142,0.396,0,2.321,0.932,1.449,1.599,0,0,0,4.008,0,0,0,0,2.418,0,0,0,0.714,0,0,0,83.065,0.049,0.922,0.028,0.999,0.096,0.866,0.028,0.009,0.999,Sum_D5
Clivia_caulescens,Clivia caulescens,Amaryllidaceae,1st,Bird,No,0.41599523,0.003,0,0.066,0.08,0,0,0.44,0.117,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.012,0,0.244,0.297,0,0,1.63,0.434,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.707,0.003,0,0.059,0.071,0,0,0.391,0.104,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.297,0.146,0.557,1,0.294,0.706,0,0,1,Sum_D5
Clivia_miniata,Clivia miniata,Amaryllidaceae,1st,Lepidoptera,No,0.271071805,0,0,0.005,0.062,0,0,0.555,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.034,0.441,0,0,3.917,2.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.063,0,0,0.057,0.75,0,0,6.658,4.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.007,0,0.067,0.933,1,0,1,0,0,1,Sum_D5
Colchicum_macrophyllum,Colchicum macrophyllum,Colchicaceae,2nd,Generalist_insect,Unkown,0.504407374,0.008,0,0.065,0.144,0.013,0.009,0.437,0.186,0.065,0,0,0,0,0.002,0,0,0.068,0,0.001,0,0,0.001,0.001,0,0,1,0.025,0,0.199,0.441,0.04,0.028,1.343,0.57,0.199,0,0,0,0,0.005,0.001,0,0.208,0,0.003,0,0,0.002,0.004,0,0,3.069,0.12,0,0.956,2.115,0.193,0.137,6.445,2.736,0.957,0,0,0,0,0.024,0.008,0,0.998,0,0.016,0,0,0.008,0.018,0,0,14.732,0.075,0.288,0.637,1,0.135,0.853,0.011,0.001,1,Sum_D5
Colchicum_speciosum,Colchicum speciosum,Colchicaceae,2nd,Generalist_insect,Unkown,0.485029972,0.012,0,0.017,0.115,0.022,0,0.476,0.117,0.15,0,0,0.001,0,0.001,0,0,0.085,0,0.003,0,0,0.001,0.001,0,0,1,0.043,0,0.051,0.364,0.072,0,1.321,0.339,0.516,0,0,0.003,0,0.002,0.001,0.001,0.219,0,0.01,0,0,0.002,0.003,0.001,0,2.947,0.049,0,0.258,1.431,0.201,0,9.233,2.036,1.13,0,0,0.011,0,0.012,0.006,0.002,1.937,0,0.005,0,0,0.019,0.009,0,0,16.339,0.163,0.22,0.618,1.001,0.237,0.759,0.004,0.001,1.001,Sum_D5
Cyclamen_africanum,Cyclamen africanum,Primulaceae,2nd,Generalist_insect,Yes,0.566421677,0.003,0,0.01,0.067,0.254,0,0.348,0,0.067,0,0.005,0.003,0,0.002,0.005,0.028,0.026,0.009,0.145,0,0,0,0.014,0.012,0.001,1,0.008,0,0.033,0.21,0.797,0,1.093,0,0.209,0,0.017,0.008,0,0.007,0.013,0.089,0.08,0.027,0.455,0,0.001,0.001,0.043,0.039,0.003,3.138,0.006,0,0.024,0.157,0.598,0,0.82,0,0.157,0,0.013,0.006,0,0.006,0.01,0.067,0.06,0.02,0.341,0,0.001,0.001,0.032,0.029,0.002,2.353,0.087,0.16,0.752,0.999,0.117,0.682,0.199,0.001,0.999,Sum_D5
Cyclamen_graecum,Cyclamen graecum,Primulaceae,2nd,Generalist_insect,Yes,0.540977234,0.01,0,0.024,0.11,0.05,0,0.534,0.02,0.081,0.012,0.004,0.006,0.002,0.001,0.024,0.016,0,0,0.035,0,0,0.055,0.008,0.008,0,1,0.013,0,0.03,0.136,0.062,0,0.658,0.024,0.1,0.015,0.005,0.007,0.002,0.001,0.03,0.019,0,0,0.043,0,0,0.068,0.01,0.01,0,1.234,0.032,0,0.074,0.341,0.155,0,1.646,0.061,0.25,0.037,0.013,0.017,0.006,0.003,0.074,0.049,0,0,0.106,0,0,0.171,0.025,0.024,0,3.085,0.116,0.229,0.655,1,0.118,0.748,0.079,0.055,1,Sum_D5
Dicentra_formosa,Dicentra formosa,Papaveraceae,1st,Bee,Yes,0.278326617,0.004,0,0.004,0.068,0,0,0.565,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0.005,0.096,0,0,0.8,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.416,0.003,0,0.002,0.048,0,0,0.4,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,0.004,0.072,0.924,1,0,1,0,0,1,Sum_D5
Digitalis_purpurea,Digitalis purpurea,Plantaginaceae,1st,Bee,Yes,0.340104196,0.009,0,0.142,0.067,0.005,0,0.05,0.678,0.019,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,1,0.026,0,0.415,0.196,0.015,0,0.145,1.963,0.054,0,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,2.901,0.103,0,1.686,0.772,0.059,0,0.567,7.389,0.206,0,0,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,11.096,0.058,0.209,0.733,1,0.049,0.951,0,0,1,Sum_D5
Diplacus_aurantiacus,Mimulus aurantiacus,Phrymaceae,1st,Unkown,No,0.335086609,0.004,0,0.063,0.036,0,0.013,0.181,0.66,0.041,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.028,0,0.44,0.254,0,0.091,1.257,4.6,0.29,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.979,0.034,0,0.525,0.301,0,0.108,1.486,5.44,0.346,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.262,0.045,0.112,0.844,1.001,0.041,0.944,0.016,0,1.001,Sum_D5
Dipsacus_fullonum,Dipsacus fullonum,Caprifoliaceae,1st,Generalist_insect,Yes,0.414997223,0.004,0,0.462,0.148,0,0.04,0.082,0.26,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008,0,1.446,0.466,0,0.094,0.262,0.82,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,0.65,0.342,1,0.004,0.956,0.04,0,1,Sum_D5
Drosera_regia,Drosera regia ,Droseraceae,1st,Generalist_insect,Unkown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.934,0,0,18.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.187,0,1,0,1,0,1,0,0,1,Sum_D5
Echinopsis_spachiana,Echinopsis spachiana,Cactaceae,1st,Unkown,Unkown,0.102422303,0.001,0,0.939,0.002,0.003,0.014,0.002,0.006,0.001,0,0,0,0.009,0,0,0,0,0.024,0,0,0,0,0,0,0,1,0.048,0,65.293,0.147,0.194,0.97,0.165,0.389,0.088,0,0,0,0.602,0,0,0,0,1.634,0,0,0,0,0,0,0,69.53,1.195,0,1610.568,3.626,4.78,23.924,4.06,9.597,2.176,0,0,0,14.838,0,0,0,0,40.312,0,0,0,0,0,0,0,1715.075,0.026,0.964,0.011,1.001,0.034,0.953,0.014,0,1.001,Sum_D5
Epilobium_hirsutum,Epilobium hirsutum,Onagraceae,1st,Generalist_insect,Yes,0.264260512,0.003,0.001,0.622,0.016,0,0,0.027,0.327,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013,0.005,2.915,0.075,0,0,0.128,1.535,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.689,0.023,0.007,5.132,0.132,0,0,0.225,2.698,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.249,0.008,0.638,0.354,1,0.004,0.996,0,0,1,Sum_D5
Eschscholzia_californica,Eschscholzia californica,Papaveraceae,1st,Generalist_insect,Yes,0.287024545,0.002,0,0.718,0.04,0.019,0,0.03,0.168,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009,0,3.407,0.192,0.089,0,0.143,0.796,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745,0.024,0,9.199,0.518,0.24,0,0.386,2.149,0.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.81,0.025,0.758,0.217,1,0.023,0.977,0,0,1,Sum_D5
Eucalyptus_perriniana,Eucalyptus perriniana,Myrtaceae,1st,Bee,Yes,0.079515108,0,0,0,0.018,0,0,0.943,0.037,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,0,0,7.546,0.297,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0.018,0.98,1,0.002,0.998,0,0,1,Sum_D5
Euphorbia_ceratocarpa,Euphorbia ceratocarpa,Euphorbiaceae,2nd,Generalist_insect,Unkown,0.398890452,0.014,0,0,0.073,0.034,0,0.077,0,0,0.114,0,0,0,0,0,0.617,0,0,0.067,0,0,0,0.002,0.002,0,1,0.047,0,0,0.237,0.11,0,0.249,0,0,0.368,0,0,0,0,0,1.991,0,0,0.215,0,0,0,0.006,0.006,0,3.227,0.037,0,0,0.189,0.088,0,0.199,0,0,0.294,0,0,0,0,0,1.593,0,0,0.172,0,0,0,0.005,0.005,0,2.582,0.014,0.694,0.292,1,0,0.198,0.802,0,1,Sum_D7
Euphorbia_milii,Euphorbia milii splendens,Euphorbiaceae,2nd,Generalist_insect,Unkown,0.407216546,0,0,0,0.264,0.152,0,0.388,0.193,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0,1,0,0,0,0.264,0.152,0,0.388,0.193,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0,1,0,0,0,0.127,0.073,0,0.186,0.093,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.001,0.266,0.733,1,0.003,0.997,0,0,1,Sum_D5
Fuchsia,Fuchsia,Onagraceae,2nd,Bird,No,0.445452571,0.033,0.013,0.142,0.07,0.005,0,0.064,0.573,0.07,0,0,0,0,0.003,0.001,0.001,0.011,0,0,0,0,0.003,0.002,0,0.003,1,0.146,0.068,0.664,0.296,0.027,0,0.28,2.628,0.311,0,0,0,0,0.013,0.017,0.005,0.056,0.002,0.001,0.001,0.001,0.017,0.009,0,0.012,4.555,0.073,0.054,0.393,0.126,0.022,0,0.139,1.491,0.159,0,0,0,0,0.006,0.003,0.002,0.037,0,0,0,0,0.013,0.005,0,0.002,2.526,0.123,0.229,0.642,0.994,0.085,0.9,0.003,0.006,0.994,Sum_D5
Galanthus_reginae-olgae,Galanthus reginae-olgae,Amaryllidaceae,2nd,Generalist_insect,Unkown,0.526016196,0.011,0,0,0.058,0.02,0.058,0.053,0,0.027,0.431,0,0.001,0.007,0,0.002,0.253,0.001,0,0.061,0,0,0.001,0.007,0.008,0,1,0.014,0,0,0.072,0.024,0.079,0.074,0,0.037,0.578,0,0.001,0.008,0,0.004,0.354,0.001,0,0.083,0,0,0.001,0.011,0.011,0,1.354,0.031,0,0,0.163,0.055,0.176,0.161,0,0.084,1.31,0,0.002,0.022,0,0.007,0.76,0.002,0,0.184,0,0,0.003,0.023,0.024,0,3.008,0.04,0.394,0.565,0.999,0.038,0.142,0.818,0.001,0.999,Sum_D7
Genista_tinctoria,Genista tinctoria,Fabaceae,1st,Bee,Yes,0.380670101,0.007,0,0.017,0.111,0,0,0.416,0.402,0.028,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.027,0,0.064,0.415,0,0,1.553,1.502,0.105,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.738,0.007,0,0.016,0.104,0,0,0.388,0.375,0.026,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934,0.035,0.128,0.837,1,0.028,0.953,0.019,0,1,Sum_D5
Geranium_renardii,Geranium renardii,Geraniaceae,1st,Generalist_insect,Yes,0.332588844,0.015,0,0.431,0.172,0,0,0.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026,0,0.742,0.297,0,0,0.657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.603,0.381,0.999,0,0.999,0,0,0.999,Sum_D5
Gesneria_ventricosa,Gesneria ventricosa,Gesneriaceae,1st,Bird,No,0.107589726,0.003,0,0.002,0.005,0.005,0,0.069,0.001,0.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.064,0,0.035,0.101,0.109,0,1.49,0.032,19.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.687,0.045,0,0.025,0.071,0.076,0,1.043,0.023,13.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.181,0.919,0.007,0.075,1.001,0.916,0.085,0,0,1.001,Sum_D0
Gladiolus_carmineus,Gladiolus carmineus,Iridaceae,2nd,Lepidoptera,No,0.598270668,0.003,0,0.194,0.025,0.009,0.008,0.063,0.053,0.003,0.164,0,0.001,0.021,0.003,0,0.352,0,0.001,0.055,0,0.001,0.001,0.021,0.02,0,1,0.01,0,0.559,0.073,0.025,0.023,0.181,0.154,0.008,0.474,0.001,0.002,0.062,0.008,0.001,1.017,0,0.002,0.159,0,0.003,0.003,0.062,0.058,0,2.885,0.035,0,2.013,0.264,0.089,0.081,0.65,0.554,0.03,1.708,0.003,0.008,0.223,0.03,0.003,3.66,0,0.005,0.573,0,0.012,0.01,0.224,0.21,0,10.386,0.011,0.643,0.344,0.998,0.03,0.347,0.62,0.001,0.998,Sum_D7
Glaucium_flavum,Glaucium flavum,Papaveraceae,1st,Bee,Yes,0.26518571,0.004,0,0.77,0.088,0.014,0.013,0.06,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.066,0,14.059,1.609,0.263,0.235,1.1,0.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0.871,0.125,1,0,0.987,0.013,0,1,Sum_D5
Hedera_helix,Hedera helix,Araliaceae,2nd,Generalist_insect,Yes,0.641391183,0.001,0.001,0.15,0.003,0.021,0,0.028,0.014,0.047,0.029,0.068,0.008,0.005,0.028,0.008,0.224,0.006,0.005,0.314,0,0,0.003,0.028,0.007,0,1,0.012,0.01,0.697,0.022,0.255,0.001,0.757,0.166,0.759,0.656,1.627,0.187,0.074,0.588,0.232,6.211,0.092,0.023,8.584,0,0.001,0.032,0.606,0.177,0.001,21.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.434,0.474,0.998,0.175,0.218,0.602,0.003,0.998,Sum_D7
Helleborus_foetidus,Helleborus foetidus,Ranunculaceae,1st,Bee,Yes,0.308033996,0.002,0,0,0.051,0.029,0,0.422,0.49,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,0,0,0.244,0.141,0,2.053,2.375,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0.043,0,0,0.992,0.568,0,8.443,9.724,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.928,0.009,0.051,0.941,1.001,0.007,0.994,0,0,1.001,Sum_D5
Helminthotheca_echioides,Helminthotheca echioides ,Asteraceae,1st,Generalist_insect,Yes,0.413373593,0.129,0,0.472,0.001,0,0.006,0.036,0.109,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.326,0,5.11,0.012,0,0.06,0.376,1.141,2.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,1.052,0,2.618,0.006,0,0.03,0.283,0.809,2.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.813,0.375,0.479,0.145,0.999,0.246,0.747,0.006,0,0.999,Sum_D5
Hemerocallis_fulva,Hemerocallis fulva,Asphodelaceae,1st 2nd,Lepidoptera,No,0.160508556,0.001,0,0.882,0.007,0,0.028,0.007,0.021,0.052,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,1,0.021,0,19.506,0.161,0.003,0.618,0.143,0.461,1.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,0.918,0.028,0.999,0.053,0.918,0.028,0,0.999,Sum_D5
Hibiscus_syriacus,Hibiscus syriacus,Malvaceae,2nd,Bee,Yes,0.298630718,0.002,0,0.172,0.012,0.005,0,0.049,0.024,0.712,0.004,0,0,0,0,0.004,0,0.016,0,0,0,0,0,0,0,0,1,0.024,0,2.089,0.143,0.055,0,0.598,0.289,8.638,0.049,0,0,0,0.004,0.047,0,0.195,0,0.001,0,0.002,0,0.003,0,0,12.136,0.043,0,3.759,0.258,0.1,0,1.076,0.52,15.548,0.088,0,0,0,0.007,0.085,0,0.351,0,0.001,0,0.004,0,0.005,0,0,21.844,0.718,0.2,0.082,1,0.732,0.264,0.004,0,1,Sum_D0
Hieracium_umbellatum,Hieracium umbellatum agg.,Asteraceae,1st,Generalist_insect,Yes,0.443963315,0.019,0.016,0,0.009,0,0,0.053,0.047,0.103,0.012,0,0,0,0,0.496,0,0,0,0,0.246,0,0,0,0,0,1,0.165,0.135,0,0.074,0,0,0.45,0.404,0.88,0.099,0,0,0,0,4.235,0,0,0,0,2.1,0,0,0,0,0,8.541,0.015,0.012,0,0.007,0,0,0.041,0.036,0.079,0.009,0,0,0,0,0.381,0,0,0,0,0.189,0,0,0,0,0,0.769,0.88,0.009,0.112,1.001,0.599,0.39,0.012,0,1.001,Sum_D0
Hyacinthoides_non-scripta,Hyacinthoides non-scripta,Asparagaceae,1st,Bee,Unkown,0.124014613,0.007,0,0,0.006,0.005,0,0.011,0.001,0.015,0,0,0,0,0,0.919,0,0,0,0,0,0.036,0,0,0,0,1,0.029,0,0,0.028,0.025,0,0.052,0.004,0.068,0,0,0,0,0,4.083,0,0,0,0,0,0.163,0,0,0,0,4.451,0.026,0,0,0.019,0.017,0,0.038,0.003,0.058,0,0,0,0,0,3.839,0,0,0,0,0,0.149,0,0,0,0,4.149,0.977,0.006,0.017,1,0.97,0.03,0,0,1,Sum_D0
